Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
New Zealand,South Africa,South Africa,13 runs,Bridgetown,"May 6, 2010",T20I # 164
Australia,India,Australia,49 runs,Bridgetown,"May 7, 2010",T20I # 165
West Indies,Sri Lanka,Sri Lanka,57 runs,Bridgetown,"May 7, 2010",T20I # 166
New Zealand,Pakistan,New Zealand,1 runs,Bridgetown,"May 8, 2010",T20I # 167
England,South Africa,England,39 runs,Bridgetown,"May 8, 2010",T20I # 168
West Indies,India,West Indies,14 runs,Bridgetown,"May 9, 2010",T20I # 169
Australia,Sri Lanka,Australia,81 runs,Bridgetown,"May 9, 2010",T20I # 170
Pakistan,South Africa,Pakistan,11 runs,Gros Islet,"May 10, 2010",T20I # 171
England,New Zealand,England,3 wickets,Gros Islet,"May 10, 2010",T20I # 172
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,"May 11, 2010",T20I # 173
West Indies,Australia,Australia,6 wickets,Gros Islet,"May 11, 2010",T20I # 174
England,Sri Lanka,England,7 wickets,Gros Islet,"May 13, 2010",T20I # 175
Australia,Pakistan,Australia,3 wickets,Gros Islet,"May 14, 2010",T20I # 176
Australia,England,England,7 wickets,Bridgetown,"May 16, 2010",T20I # 177
West Indies,South Africa,South Africa,13 runs,North Sound,"May 19, 2010",T20I # 178
West Indies,South Africa,South Africa,1 runs,North Sound,"May 20, 2010",T20I # 179
New Zealand,Sri Lanka,New Zealand,28 runs,Lauderhill,"May 22, 2010",T20I # 180
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Lauderhill,"May 23, 2010",T20I # 181
Zimbabwe,India,India,6 wickets,Harare,"Jun 12, 2010",T20I # 182
Zimbabwe,India,India,7 wickets,Harare,"Jun 13, 2010",T20I # 183
Australia,Pakistan,Pakistan,23 runs,Birmingham,"Jul 5, 2010",T20I # 184
Australia,Pakistan,Pakistan,11 runs,Birmingham,"Jul 6, 2010",T20I # 185
England,Pakistan,England,5 wickets,Cardiff,"Sep 5, 2010",T20I # 186
England,Pakistan,England,6 wickets,Cardiff,"Sep 7, 2010",T20I # 187
South Africa,Zimbabwe,South Africa,7 wickets,Bloemfontein,"Oct 8, 2010",T20I # 188
South Africa,Zimbabwe,South Africa,8 runs,Kimberley,"Oct 10, 2010",T20I # 189
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,"Oct 26, 2010",T20I # 190
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,"Oct 27, 2010",T20I # 191
Australia,Sri Lanka,Sri Lanka,7 wickets,Perth,"Oct 31, 2010",T20I # 192
New Zealand,Pakistan,New Zealand,5 wickets,Auckland,"Dec 26, 2010",T20I # 193
New Zealand,Pakistan,New Zealand,39 runs,Hamilton,"Dec 28, 2010",T20I # 194
New Zealand,Pakistan,Pakistan,103 runs,Christchurch,"Dec 30, 2010",T20I # 195
